"Party" "V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19" "V20"
"Becerra" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Bentsen" "(D)" "-" "+" "+" "+" "+" "+" "+" NA "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "-"
"Bereuter" "(R)" "-" "-" "-" "-" "+" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Berkley" "(D)" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Berman" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Berry" "(D)" "-" "+" "+" "-" "+" "-" "+" "+" "+" "-" "+" "-" "-" "+" "+" "-" "-" "+" "+" "+"
"Biggert" "(R)" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-"
"Bilirakis" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Bishop" "(D)" "+" "+" "-" "+" "+" "-" "+" NA "+" NA "+" "-" "-" "+" "+" "+" "+" "+" "+" "+"
"Blagojevich" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Blumenauer" "(D)" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "+" NA "+" "+" "+" "+" "+" "+" "+" "+"
"Blunt" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" NA "-" "-"
"Boehlert" "(R)" "-" "+" "-" "-" "-" "+" "+" "-" "+" "-" "-" "-" "+" "-" "-" "+" "+" "-" "-" "-"
"Boehner" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Bonilla" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Bonior" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Bono" "(R)" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "+" "-" "-" "-"
"Boozman" "(R)" NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA "-"
"Borski" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+"
"Boswell" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Boucher" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Boyd" "(D)" "-" "-" "+" "+" "+" "+" "+" NA "+" "-" "+" "-" "-" "+" "+" "+" "+" "+" "+" "+"
"Brady" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+"
"Brady1" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Brown" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Brown1" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Brown2" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Bryant" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Burr" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Burton" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Buyer" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Callahan" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Calvert" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Camp" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Cannon" "(R)" NA "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Cantor" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Capito" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "-" "+"
"Capps" "(D)" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Capuano" "(D)" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Cardin" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Carson" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Carson1" "(D)" "-" "-" "+" "+" "+" "+" "+" "-" "+" "-" "+" "-" "-" "+" "+" "+" "+" "+" "+" "-"
"Castle" "(R)" "-" "-" "-" "-" "+" "-" "+" "-" "+" "-" "-" "-" "+" "-" "-" "+" "+" "-" "-" "-"
"Chabot" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-"
"Chambliss" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Clay" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Clayton" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Clement" "(D)" "-" "-" "-" "+" "+" "-" "+" "-" "+" "-" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+"
"Clyburn" "(D)" "+" "-" "+" "+" "-" "-" "+" "+" "+" "-" "+" "-" "-" "+" "+" "+" "+" "+" "+" "+"
"Coble" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "+"
"Collins" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Combest" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Condit" "(D)" "-" "+" "-" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Conyers" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" NA "+" "+" "+"
"Cooksey" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" NA "-" "-" "-" "-"
"Costello" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "-" "-" "+" "+" "+"
"Cox" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Coyne" "(D)" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Cramer" "(D)" NA "-" "-" "+" "+" "-" "+" "-" "+" "-" "-" "-" "-" "+" "-" "-" "+" "+" "+" "+"
"Crane" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Crenshaw" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Crowley" "(D)" "-" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Cubin" "(R)" "-" "-" "-" "-" "-" "-" NA NA "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" NA "-"
"Culberson" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Cummings" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Cunningham" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-"
"Davis" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Davis1" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "-"
"Davis2" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "-"
"Davis3" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "+" "-" "-" "+" "-" "-" "-" "-"
"Davis4" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"DeFazio" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"DeGette" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"DeLauro" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"DeLay" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" NA "-" "-" "-" "-" "-" "-" "-" "-"
"DeMint" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Deal" "(R)" NA "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Delahunt" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Deutsch" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Diaz-Balart" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Dicks" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "-"
"Dingell" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Doggett" "(D)" "+" "+" "+" "-" "+" "+" "+" NA "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Dooley" "(D)" "-" "-" "+" "+" "+" "+" "+" "-" "+" "-" "+" "-" "-" "+" "+" "+" "+" "+" "+" "-"
"Doolittle" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Doyle" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+"
"Dreier" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-"
"Duncan" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "+"
"Dunn" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "+" "-" "-" "-"
"Edwards" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "-" "+" "+" "+" "+" "+" "+" "+"
"Ehlers" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-"
"Ehrlich" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "+" "+" "-" "-" "-"
"Emerson" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Engel" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA NA "+" "+" "+" "+" NA "+" "+" "+"
"English" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-"
"Eshoo" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Etheridge" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "-"
"Evans" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Everett" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Farr" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Fattah" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Ferguson" "(R)" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "+" "-" "-" "+" "-" "-" "-" "-"
"Filner" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Flake" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Fletcher" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Foley" "(R)" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "+" "-" "-" "+" "+" "-" "-" "+"
"Forbes" "(R)" NA NA NA NA NA NA NA NA "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Ford" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Fossella" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Frank" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Frelinghuysen" "(R)" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "+" "-" "-" "+" "+" "-" "-" "-"
"Frost" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Gallegly" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Ganske" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "+" "-" "-" "-" "-" "+" "-" "+" "-" "-" "+" "-"
"Gekas" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Gephardt" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" NA "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Gibbons" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Gilchrest" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "+" "-" "-" "+" "-" "-" "+" "+" "-" "-" "-"
"Gillmor" "(R)" "-" "-" "-" "-" "-" "-" "+" NA "-" "-" "-" "+" "-" "-" "-" "+" "-" NA "-" "-"
"Gilman" "(R)" "-" "+" "-" "-" "-" "+" "+" "-" "-" "-" "-" "+" "+" "-" "-" "+" "+" "-" "-" "+"
"Gonzalez" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Goode" "(I)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "+"
"Goodlatte" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Gordon" "(D)" "-" "+" "-" "+" "-" "-" "+" "-" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Goss" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Graham" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "+"
"Granger" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Graves" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Green" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+"
"Green1" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Greenwood" "(R)" "-" "-" "-" "-" "-" "+" "-" "-" "-" "+" "-" "-" "+" "-" "-" "+" "+" "-" "-" "-"
"Grucci" "(R)" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Gutierrez" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Gutknecht" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Hall" "(D)" "+" "+" "+" "+" "+" "-" "+" NA "+" "+" "-" "+" "+" "+" "+" "-" "-" "+" "+" "+"
"Hall1" "(D)" "-" "-" "-" "+" "+" "-" "-" "-" "+" "-" "-" "-" "-" "+" "+" "-" "-" "-" "-" "-"
"Hansen" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Harman" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Hart" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Hastert" "(R)" NA "-" "-" NA NA "-" "-" "-" "-" NA NA "-" "-" "-" "-" NA NA "-" "-" "-"
"Hastings" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Hastings1" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Hayes" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Hayworth" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Hefley" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Herger" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Hill" "(D)" "-" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" NA "-"
"Hilleary" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Hilliard" "(D)" "+" "+" "+" "+" "-" "+" "+" "+" "+" "-" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+"
"Hinchey" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Hinojosa" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "-" "+" "+" "+" "+" "+" "+" "+" "-"
"Hobson" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "+" "-" "-" "-" "-"
"Hoeffel" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Hoekstra" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+"
"Holden" "(D)" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "-" "-" "+" "+" "+"
"Holt" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Honda" "(D)" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Hooley" "(D)" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Horn" "(R)" "-" "+" "-" "-" "-" "+" "+" "-" "-" "-" "-" "-" "+" "-" "-" "+" "+" "-" "-" "-"
"Hostettler" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "+"
"Houghton" "(R)" "-" "-" "-" "-" "-" "+" "+" NA "+" "-" "-" "-" "+" "-" "-" "+" "+" "-" "-" "-"
"Hoyer" "(D)" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
"Hulshof" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Hunter" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Hutchinson" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" NA "-" "-" NA NA NA NA NA
"Hyde" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-"
"Inslee" "(D)" NA "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Isakson" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-"
"Israel" "(D)" "+" "+" "+" "+" "+" "+" "+" "-" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+"
"Issa" "(R)" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-" "-" "-" "-" "-" "+" "-" "-" "-" "-"
"Istook" "(R)" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-" "-"
"Jackson" "(D)" "+" "+" "+" "+" "-" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+" "+"
